| <LATEX>         |     CAS-RN | Formula     | < $\Henry$           |    $\HTdep$ > | < $k_{\rm s}$ > | < \alphaominus  | \alphaTdep > | < $K_{\rm a}$    | $K_{\rm a2}$ >  |           |         |             |    < pss |    dryreac > |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| <DEFAULT>       |          ? | 0.          | -9.99999             |      -9.99999 | 9.99999         | 0.1     {&SN}   |           0. | 9.99999          | 9.99999         |   9.99999 | 9.99999 |     9.99999 | -9.99999 |     -9.99999 |        0 |           9.99999 |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| IC3H7O2         |            | C3H7O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| IC3H7OOH        |            | C3H8O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.3E2 |          0.1 |          |                   |
| IPROPOL         |            | C3H8O       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.3E2 |          0.1 |          |                   |
| MGLYOX          |    78-98-8 | CH3COCHO    | 3.5E3        {&484}  |         7500. |                 |                 |              |                  |                 |           |         |             |    3.7E3 |          0.1 |          |                   |
| NC3H7O2         |            | C3H7O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NC3H7OOH        |            | C3H8O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.3E2 |          0.1 |          |                   |
| NPROPOL         |            | C3H8O       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.3E2 |          0.1 |          |                   |
| PROPENOL        |            | C3H6O       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.3E1 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C32OH13CO       |            | C3H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    9.0E3 |          0.1 |          |                   |
| C3DIALO2        |            | C3H3O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C3DIALOOH       |            | C3H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    9.0E3 |          0.1 |          |                   |
| HCOCOHCO3       |            | C3H3O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HCOCOHCO3H      |            | C3H4O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| METACETHO       |            | C3H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.7E3 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C3PAN1          |            | C3H5O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C3PAN2          |            | C3H3O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| CH3COCH2O2NO2   |            | C3H5O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E3 |          0.1 |          |                   |
| IC3H7NO3        |            | C3H7O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |   0.83E0 |          0.1 |          |                   |
| NC3H7NO3        |            | C3H7O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |   0.83E0 |          0.1 |          |                   |
| NOA             |            | C3H5O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E3 |          0.1 |          |                   |
| PPN             |            | C3H5O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |      2.8 |          0.1 |          |                   |
| PR2O2HNO3       |            | C3H7O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.1E4 |          0.1 |          |                   |
| PRONO3BO2       |            | C3H6O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| PROPOLNO3       |            | C3H7O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.5E3 |          0.1 |          |                   |
| HCOCOHPAN       |            | C3H3O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.0E4 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
