| <LATEX>         |     CAS-RN | Formula     | < $\Henry$           |    $\HTdep$ > | < $k_{\rm s}$ > | < \alphaominus  | \alphaTdep > | < $K_{\rm a}$    | $K_{\rm a2}$ >  |           |         |             |    < pss |    dryreac > |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| <DEFAULT>       |          ? | 0.          | -9.99999             |      -9.99999 | 9.99999         | 0.1     {&SN}   |           0. | 9.99999          | 9.99999         |   9.99999 | 9.99999 |     9.99999 | -9.99999 |     -9.99999 |        0 |           9.99999 |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| APINBOO         |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| APINENE         |            | C10H16      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E1 |          0.1 |          |                   |
| BPINAO2         |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| BPINAOOH        |            | C10H18O3    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| BPINENE         |            | C10H16      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E1 |          0.1 |          |                   |
| C106O2          |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C106OOH         |            | C10H16O5    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C109CO          |            | C10H10O3    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C109O2          |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C109OOH         |            | C10H16O4    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C96CO3          |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CAMPHENE        |            | C10H16      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E1 |          0.1 |          |                   |
| CARENE          |            | C10H16      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E1 |          0.1 |          |                   |
| MENTHEN6ONE     |            | C10H16O3    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| OH2MENTHEN6ONE  |            | C10H17O4    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| OHMENTHEN6ONEO2 |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| PERPINONIC      |            | C10H16O4    |                      |               |                 |                 |              |                  |                 |           |         |             |    7.4E5 |          0.1 |          |                   |
| PINAL           |            | C10H16O2    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| PINALO2         |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| PINALOOH        |            | C10H14O4    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| PINENOL         |            | C10H16O2    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| PINONIC         |            | C10H16O3    |                      |               |                 |                 |              |                  |                 |           |         |             |    7.4E5 |          0.1 |          |                   |
| RO6R1O2         |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| RO6R3O2         |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| ROO6R1O2        |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| SABINENE        |            | C10H16      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E1 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| BPINANO3        |            | C10H17O4N   |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C106NO3         |            | C10H15O6N   |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C10PAN2         |            | C10H15O6N   |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| PINALNO3        |            | C10H13O5N   |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| RO6R1NO3        |            | C10H17O5N   |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| ROO6R1NO3       |            | C10H17O6N   |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| LAPINABNO3      |            | C10H17O4N   |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| LAPINABO2       |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| LAPINABOOH      |            | C10H18O3    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| LNAPINABO2      |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| LNAPINABOOH     |            | C10H17O5N   |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| LNBPINABO2      |            | C10H10O2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| LNBPINABOOH     |            | C10H17O5N   |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| LHAROM          |            | C11H14      |                      |               |                 |                 |              |                  |                 |           |         |             |   1.2E-1 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| CHF3            |            | CHF3        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CHF2CF3         |            | C2HF5       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3CF3          |            | C2H3F3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH2F2           |            | CH2F2       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3CHF2         |            | C2H4F2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| CCl4            |            | CCl4        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CF2Cl2          |            | CF2Cl2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CF2ClCF2Cl      |            | C2F4Cl2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CF2ClCFCl2      |            | C2F3Cl3     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CF3CF2Cl        |            | C2F5Cl      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CFCl3           |            | CFCl3       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH2Cl2          |            | C2H2Cl2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH2FCF3         |            | C2H2F4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3CCl3         |            | C2H3Cl3     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3CFCl2        |            | C2H3FCl2    |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3Cl           |            | CH3Cl       |                      |               |                 |                 |              |                  |                 |           |         |             |   9.4E-2 |          0.0 |          |                   |
| CHCl3           |            | CHCl3       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CHF2Cl          |            | CHF2Cl      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| Cl              |            | Cl          |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| Cl2             |  7782-50-5 | Cl2         | 9.3E-2       {&2626} |         2000. |                 | 0.038   {&380}  |        6546. |                  |                 |           |         |             |    7.E-2 |          0.1 |          |                   |
| Cl2O2           |            | Cl2O2       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| ClNO2           |            | ClNO2       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| ClNO3           | 14545-72-3 | ClNO3       | BIG_DP       {&SN}   |            0. |                 | 0.108   {&1647} |              |                  |                 |           |         |             |    1.E30 |          1.0 |          |                   |
| ClO             |            | ClO         |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HCl             |  7647-01-0 | HCl         | 2./1.7       {&530}  |         9000. |                 | 0.074   {&1161} |        3072. |                  |                 |           |         |             |     1E14 |          1.0 |          |                   |
| HOCl            |  7790-92-3 | HOCl        | 6.6E2        {&3245} |         5880. |                 | 0.5     {&SN}   |              |                  |                 |           |         |             |    6.7E2 |          1.0 |          |                   |
| OClO            |            | ClO2        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| LCHLORINE       |            | Cl          |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| Br              |            | Br          |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| Br2             |  7726-95-6 | Br2         | 7.25E-1      {&3245} |         4390. |                 | 0.038   {&380}  |        6546. |                  |                 |           |         |             |      0.7 |          0.1 |          |                   |
| BrCl            | 13863-41-7 | BrCl        | 9.4E-1       {&1038} |         5600. |                 | 0.038   {&SN}   |        6546. |                  |                 |           |         |             |      1.0 |          0.1 |          |                   |
| BrNO2           |            | BrNO2       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| BrNO3           | 40423-14-1 | BrNO3       | BIG_DP       {&SN}   |            0. |                 | 0.063   {&1647} |              |                  |                 |           |         |             |   1.0E30 |          1.0 |          |                   |
| BrO             |            | BrO         |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CF2ClBr         |            | CF2ClBr     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CF3Br           |            | CF3Br       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH2Br2          |            | CH2Br2      |                      |               |                 |                 |              |                  |                 |           |         |             |      1.1 |          0.0 |          |                   |
| CH2ClBr         |            | CH2ClBr     |                      |               |                 |                 |              |                  |                 |           |         |             |      1.1 |          0.0 |          |                   |
| CH3Br           |            | CH3Br       |                      |               |                 |                 |              |                  |                 |           |         |             |   1.6E-1 |          0.0 |          |                   |
| CHBr3           |            | CHBr3       |                      |               |                 |                 |              |                  |                 |           |         |             |      1.7 |          0.0 |          |                   |
| CHCl2Br         |            | CHCl2Br     |                      |               |                 |                 |              |                  |                 |           |         |             |   4.0E-1 |          0.0 |          |                   |
| CHClBr2         |            | CHClBr2     |                      |               |                 |                 |              |                  |                 |           |         |             |   8.7E-1 |          0.0 |          |                   |
| HBr             | 10035-10-6 | HBr         | 1.3          {&530}  |        10000. |                 | 0.032   {&1161} |        3940. |                  |                 |           |         |             |   1.3E17 |          1.0 |          |                   |
| HOBr            | 13517-11-8 | HOBr        | 1.3E3        {&288}  |         5862. |                 | 0.5     {&930}  |              |                  |                 |           |         |             |    9.1E1 |          1.0 |          |                   |
| LBROMINE        |            | Br          |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C3H7I           |            | IH7C3       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH2ClI          |            | CH2ClI      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.4E1 |          0.1 |          |                   |
| CH2I2           |            | I2CH2       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3I            |            | ICH3        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HI              | 10034-85-2 | HI          | BIG_DP       {&SN}   |            0. |                 | 0.036   {&1161} |        4130. |                  |                 |           |         |             |    1.E30 |          1.0 |          |                   |
| HIO3            |            | HIO3        | BIG_DP       {&SN}   |            0. |                 | 0.01    {&SN}   |              |                  |                 |           |         |             |    1.E30 |          1.0 |          |                   |
| HOI             | 14332-21-9 | HOI         | 4.5E2        {&162}  |         5862. |                 | 0.5     {&SN}   |              |                  |                 |           |         |             |    1.E30 |          1.0 |          |                   |
| I               |            | I           |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| I2              |  7553-56-2 | I2          | 3.           {&582}  |         4431. |                 | 0.01    {&SN}   |        2000. |                  |                 |           |         |             |      3.0 |          0.1 |          |                   |
| I2O2            |            | I2O2        | BIG_DP       {&SN}   |            0. |                 |                 |        2000. |                  |                 |           |         |             |      0.0 |          0.0 |          |                   |
| IBr             |  7789-33-5 | IBr         | 2.4E1        {&SN}   |         5600. |                 | 0.018   {&SN}   |        2000. |                  |                 |           |         |             |      0.0 |          0.0 |          |                   |
| ICl             |  7790-99-0 | ICl         | 1.1E2        {&SN}   |         5600. |                 | 0.018   {&2159} |        2000. |                  |                 |           |         |             |    1.1E2 |          0.1 |          |                   |
| INO2            |            | INO2        | BIG_DP       {&SN}   |            0. |                 |                 |        2000. |                  |                 |           |         |             |      4.5 |          0.1 |          |                   |
| INO3            |            | INO3        | BIG_DP       {&SN}   |            0. |                 |                 |        2000. |                  |                 |           |         |             |    1.E30 |          1.0 |          |                   |
| IO              |            | IO          | 4.5E2        {&SN}   |         5862. |                 | 0.5     {&SN}   |        2000. |                  |                 |           |         |             |      0.0 |          0.0 |          |                   |
| IPART           |            | I2          |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| OIO             |            | OIO         | BIG_DP       {&SN}   |            0. |                 | 0.01    {&SN}   |              |                  |                 |           |         |             |      0.0 |          0.0 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| CH3SO2          |            | CH3SO2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3SO3          |    75-75-2 | CH3SO3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3SO3H         |    75-75-2 | CH3SO3H     | BIG_DP       {&SN}   |            0. |                 | 0.076   {&389}  |        1762. |                  |                 |           |         |             |    1.E30 |          1.0 |          |                   |
| DMS             |    75-18-3 | CH3SCH3     | 5.4E-1       {&3245} |         3460. |                 |                 |              |                  |                 |           |         |             |      0.0 |          0.0 |          |                   |
| DMSO            |    67-68-5 | CH3SOCH3    | 9.5E4        {&824}  |         1300. |                 | 0.048   {&389}  |        2578. |                  |                 |           |         |             |     5.E4 |          0.1 |          |                   |
| H2SO4           |  7664-93-9 | H2SO4       | 1.E11        {&SN}   |            0. |                 | 0.65    {&1205} |              | 1E3     {&SN}    | 1.023E-2 {&SN}  |           |         |             |   1.3E15 |          1.0 |          |                   |
| OCS             |            | CSO         |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| S               |            | S           |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| SF6             |            | SF6         |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| SH              |            | SH          |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| SO              |            | SO          |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| SO2             |  7446-09-5 | SO2         | 1.3          {&3245} |         2900. |                 | 0.11    {&826}  |              | 1.23E-2 {&34}    | 6.61E-8 {&34}   |           |         |             |   2.45E5 |          0.0 |          |                   |
| SO3             |            | SO3         |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| LSULFUR         |            | S           |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| Hg              |  7439-97-6 | Hg          | 0.13         {&2820} |         2700. |                 |                 |              |                  |                 |           |         |             |     0.13 |          0.1 |          |                   |
| HgO             | 21908-53-2 | HgO         | 3.2E6        {&2285} |            0. |                 |                 |              |                  |                 |           |         |             |    2.4E7 |          1.0 |          |                   |
| HgCl            |  7546-30-7 | HgCl        | 2.4E7        {&SN}   |            0. |                 |                 |              |                  |                 |           |         |             |    2.4E7 |          1.0 |          |                   |
| HgCl2           |  7487-94-7 | HgCl2       | 2.4E7        {&2285} |            0. |                 |                 |              |                  |                 |           |         |             |    2.4E7 |          1.0 |          |                   |
| HgBr            |            | HgBr        | 2.4E7        {&SN}   |            0. |                 |                 |              |                  |                 |           |         |             |    2.4E7 |          1.0 |          |                   |
| HgBr2           |  7789-47-1 | HgBr2       | 2.4E7        {&SN}   |            0. |                 |                 |              |                  |                 |           |         |             |    2.4E7 |          1.0 |          |                   |
| ClHgBr          |            | ClHgBr      | 2.4E7        {&SN}   |            0. |                 |                 |              |                  |                 |           |         |             |    2.4E7 |          1.0 |          |                   |
| BrHgOBr         |            | BrHgOBr     | 2.4E7        {&SN}   |            0. |                 |                 |              |                  |                 |           |         |             |    2.4E7 |          1.0 |          |                   |
| ClHgOBr         |            | ClHgOBr     | 2.4E7        {&SN}   |            0. |                 |                 |              |                  |                 |           |         |             |    2.4E7 |          1.0 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| LTERP           |            | 136.24      |                      |               |                 |                 |              |                  |                 |           |         |             |   4.9E-2 |          0.0 |          |                   |
| LALK4           |            | 73.23       |                      |               |                 |                 |              |                  |                 |           |         |             |   7.7E-4 |          0.0 |          |                   |
| LALK5           |            | 106.97      |                      |               |                 |                 |              |                  |                 |           |         |             |   2.5E-4 |          0.0 |          |                   |
| LARO1           |            | 100.47      |                      |               |                 |                 |              |                  |                 |           |         |             |   1.4E-1 |          0.0 |          |                   |
| LARO2           |            | 113.93      |                      |               |                 |                 |              |                  |                 |           |         |             |   1.4E-1 |          0.0 |          |                   |
| LOLE1           |            | 61.68       |                      |               |                 |                 |              |                  |                 |           |         |             |   5.0E-3 |          0.0 |          |                   |
| LOLE2           |            | 79.05       |                      |               |                 |                 |              |                  |                 |           |         |             |   5.0E-3 |          0.0 |          |                   |
| LfPOG02         |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LfPOG03         |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LfPOG04         |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LfPOG05         |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbbPOG02        |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbbPOG03        |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbbPOG04        |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LfSOGsv01       |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LfSOGsv02       |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbbSOGsv01      |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbbSOGsv02      |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LfSOGiv01       |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LfSOGiv02       |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LfSOGiv03       |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LfSOGiv04       |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbbSOGiv01      |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbbSOGiv02      |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbbSOGiv03      |            | 250.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbSOGv01        |            | 180.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbSOGv02        |            | 180.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbSOGv03        |            | 180.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbSOGv04        |            | 180.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbOSOGv01       |            | 180.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbOSOGv02       |            | 180.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LbOSOGv03       |            | 180.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LaSOGv01        |            | 150.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
| LaSOGv02        |            | 150.        |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E5 |          0.0 |          |                   |
