# -*- org -*-
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| basename        | subname | refspec | medium  | R_vini     | I_force_init | I_advect | I_convect | I_vdiff | I_wetdep | I_drydep | I_sedi | I_scav | I_mix | I_force_col | I_integrate | I_timefilter | I_method | S_model  | I_mode     | I_sol |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| CHF3            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CHF2CF3         |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3CF3          |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH2F2           |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3CHF2         |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CHF2CF3         |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| Cl              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| Cl2             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ClO             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | ON     |       |             |             |              |          |          |            |       |
| HCl             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOCl            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| Cl2O2           |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| OClO            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| ClNO2           |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| ClNO3           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CCl4            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3Cl           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CH3CCl3         |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CF2Cl2          |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CFCl3           |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CHF2Cl          |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH2FCF3         |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH2Cl2          |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CF2ClCFCl2      |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3CFCl2        |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CF2ClCF2Cl      |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CHCl3           |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CF3CF2Cl        |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| LCHLORINE       |         | Cl      | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        |        |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| Br              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| Br2             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BrO             |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | ON     |       |             |             |              |          |          |            |       |
| HBr             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOBr            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BrNO2           |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| BrNO3           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BrCl            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH2ClBr         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CHCl2Br         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CHClBr2         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CH2Br2          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CH3Br           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CHBr3           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CF3Br           |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CF2ClBr         |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| Brorg           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| Brsalt          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| I               |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| I2              |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| IO              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | ON     |       |             |             |              |          |          |            |       |
| OIO             |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| I2O2            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| HI              |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HOI             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HIO3            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| INO2            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| INO3            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CH3I            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH2I2           |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C3H7I           |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| ICl             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| CH2ClI          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| IBr             |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| S               |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| SO              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| SO2             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| SO3             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| SH              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| H2SO4           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3SO3H         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| DMS             |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| DMSO            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3SO2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3SO3          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| OCS             |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | ON     |       |             |             |              |          |          |            |       |
| SF6             |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| Hg              |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| HgO             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HgCl            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HgCl2           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HgBr            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HgBr2           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ClHgBr          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BrHgOBr         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ClHgOBr         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| NO3m            | cs      | NO3     | AEROSOL |            |              | ON       | ON        | ON      |          | ON       | ON     | ON     |       |             |             |              | MODAL    | c_pa_asm | i_pa_amode |       |
| Hp              | cs      | H       | AEROSOL |            |              | ON       | ON        | ON      |          | ON       | ON     | ON     |       |             |             |              | MODAL    | c_pa_asm | i_pa_amode |       |
| RGM             | cs      | Hg      | AEROSOL |            |              | ON       | ON        | ON      |          | ON       | ON     | ON     |       |             |             |              | MODAL    | c_pa_asm | i_pa_amode |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| NACA            |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| LHOC3H6O2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| LHOC3H6OOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| MVKO2           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| MVKOOH          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| ISO2            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| ISOOH           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| ISON            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| Op              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| O2p             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| Np              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| N2p             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| NOp             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| Hp              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| em              |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| kJmol           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| RH2O            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| RNOy            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| RCly            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| RBr             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| PO3             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| LO3             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| PCO             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| LCO             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| PCH4            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| LCH4            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| POH             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| LOH             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| LHO2            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| PHO2            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| LNO             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| PNO             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| LNO2            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| PNO2            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| LNOy            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| PNOy            |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| LHNO3           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
| PHNO3           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      | OFF    | OFF    | OFF   |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| CFCl3           | c       |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CF2Cl2          | c       |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| N2O             | c       |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CH3CCl3         | c       |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CF2ClBr         | c       |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CF3Br           | c       |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| LTERP           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LALK4           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LALK5           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LARO1           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LARO2           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LOLE1           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LOLE2           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfPOG02         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfPOG03         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfPOG04         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfPOG05         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbbPOG02        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbbPOG03        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbbPOG04        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfSOGsv01       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfSOGsv02       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbbSOGsv01      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbbSOGsv02      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfSOGiv01       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfSOGiv02       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfSOGiv03       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LfSOGiv04       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbbSOGiv01      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbbSOGiv02      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbbSOGiv03      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbSOGv01        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbSOGv02        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbSOGv03        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbSOGv04        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbOSOGv01       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbOSOGv02       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LbOSOGv03       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LaSOGv01        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LaSOGv02        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LaSOGv03        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LaSOGv04        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LaOSOGv01       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LaOSOGv02       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
